contributor_id,kind,skill
0,honest,0.7447044405253823
1,honest,0.7264469013004571
2,honest,0.8985784587635346
3,honest,0.7324370479091927
4,honest,0.8804123998315929
5,honest,0.7481653836064923
6,honest,0.7319437481269401
7,honest,0.7438831131263414
8,honest,0.8372689332652654
9,honest,0.874280277661594
10,honest,0.9192197122155619
11,honest,0.7347117954754502
12,honest,0.8663704217941741
13,honest,0.9089366918410368
14,honest,0.7843493963071287
15,honest,0.7215232064292081
16,honest,0.7421054100279587
17,honest,0.7247208348413233
18,honest,0.939547221376123
19,honest,0.8017094504572633
20,honest,0.8413041233866622
21,honest,0.9075458009871649
22,honest,0.8003045739725954
23,honest,0.8752577167494554
24,honest,0.7207035603689781
25,honest,0.8298445248435221
26,honest,0.726060120865983
27,honest,0.7670367179836616
28,honest,0.7792020234507765
29,honest,0.8937476270494755
30,honest,0.8820081302980985
31,honest,0.9017116240113877
32,honest,0.7166738627540804
33,honest,0.9683568372867226
34,honest,0.7146934077516376
35,honest,0.9229519036885715
36,honest,0.8998726120397446
37,honest,0.8597756834327913
38,honest,0.8184914345891465
39,honest,0.9044257353829493
40,honest,0.8997616068825884
41,honest,0.7370381505822472
42,honest,0.9140107676994349
43,honest,0.7212103893074405
44,honest,0.8351474583747044
45,honest,0.8741720931731424
46,honest,0.9218559914913115
47,honest,0.8250397588851245
48,honest,0.7639516809425891
49,honest,0.8324780961732837
50,honest,0.7675561898180224
51,honest,0.84275585299316
52,honest,0.8248772094387598
53,honest,0.9107362106126065
54,honest,0.7648243306294827
55,honest,0.7539959997313916
56,honest,0.8280300416830791
57,honest,0.7136361786015296
58,honest,0.7619219696775865
59,honest,0.7955003268306767
60,honest,0.8316600223914458
61,honest,0.7727479120308482
62,honest,0.8513718535712697
63,honest,0.9371719599401963
64,honest,0.8468064145665525
65,honest,0.7774466708688366
66,honest,0.716734862440625
67,honest,0.7368999022820474
68,honest,0.8515286895077414
69,honest,0.8846013862881825
70,honest,0.713410344759599
71,honest,0.75009845402264
72,honest,0.786151943082674
73,honest,0.7863387393977356
74,honest,0.9587698938280494
75,honest,0.755018061444454
76,honest,0.7168804943593594
77,honest,0.7953140039143262
78,honest,0.7362993321780135
79,honest,0.734177130586663
80,honest,0.8100116785016246
81,honest,0.7827256075974861
82,honest,0.724766229561947
83,honest,0.8631619259454113
84,honest,0.8354589368254944
85,honest,0.7208169106168524
86,honest,0.932941007983819
87,honest,0.7768725257173298
88,honest,0.9595728119357384
89,honest,0.9515154307902078
90,honest,0.8172060890790632
91,honest,0.7617130739183504
92,honest,0.92541023238316
93,honest,0.7975471772380606
94,honest,0.7441586875612505
95,honest,0.8489340832711141
96,honest,0.8321386595293417
97,honest,0.9295048272797682
98,honest,0.8969059725566196
99,honest,0.9365576614459235
100,honest,0.8983697863445911
101,honest,0.8733872393749051
102,honest,0.8350478311147934
103,honest,0.9666393881640408
104,honest,0.9589745024800465
105,honest,0.9291903050146524
106,honest,0.9093361877220925
107,honest,0.8559410785319982
108,honest,0.7701334073420758
109,honest,0.9363685373137505
110,honest,0.7029203564173185
111,honest,0.7614087910343619
112,honest,0.8090077601728068
113,honest,0.8582624319131994
114,honest,0.8514374164972961
115,honest,0.7474702731240268
116,honest,0.7282955139496535
117,honest,0.7600288104480255
118,honest,0.7941513730020505
119,honest,0.7037944957384232
120,honest,0.886963071548461
121,honest,0.7668864076491226
122,honest,0.7948791978680578
123,honest,0.7904234564576529
124,honest,0.8381940462372008
125,honest,0.9321459249655449
126,honest,0.7403352874464961
127,honest,0.7919963205724428
128,honest,0.8868477780875815
129,honest,0.7119424815857179
130,honest,0.9240942314938003
131,honest,0.9596927879343051
132,honest,0.8640620446971375
133,honest,0.9582572601782947
134,honest,0.8115266939465718
135,honest,0.812058567276887
136,honest,0.728687205541628
137,honest,0.7095706724499378
138,honest,0.7660161658963242
139,honest,0.8290947374173099
140,honest,0.83707424553298
141,honest,0.758745353070187
142,honest,0.8654575321585855
143,honest,0.7489255862063647
144,honest,0.788077007872657
145,honest,0.7528415691011183
146,honest,0.8880991719973371
147,honest,0.8394745772200242
148,honest,0.8987472967496062
149,honest,0.7154570057897454
150,honest,0.8148477616634882
151,honest,0.9610788163249835
152,honest,0.7144772689707182
153,honest,0.8129622462179097
154,honest,0.7109075190910175
155,honest,0.739596396662116
156,honest,0.8248821419247239
157,honest,0.7425286173746941
158,honest,0.8400639647402376
159,honest,0.9491375543479188
160,lazy,
161,lazy,
162,lazy,
163,lazy,
164,lazy,
165,lazy,
166,lazy,
167,lazy,
168,lazy,
169,lazy,
170,lazy,
171,lazy,
172,lazy,
173,lazy,
174,lazy,
175,bot,
176,bot,
177,bot,
178,bot,
179,bot,
180,bot,
181,bot,
182,bot,
183,bot,
184,bot,
185,bot,
186,bot,
187,bot,
188,bot,
189,bot,
190,colluder,
191,colluder,
192,colluder,
193,colluder,
194,colluder,
195,colluder,
196,colluder,
197,colluder,
198,colluder,
199,colluder,
