contributor_id,kind,skill,est_accuracy
0,honest,0.7447044405253823,0.7620462386857517
1,honest,0.7264469013004571,0.5353397509395077
2,honest,0.8985784587635346,0.7246886495079385
3,honest,0.7324370479091927,0.5515505542685337
4,honest,0.8804123998315929,0.8344412116210677
5,honest,0.7481653836064923,0.5633530399821047
6,honest,0.7319437481269401,0.7555326619373284
7,honest,0.7438831131263414,0.6771230559399118
8,honest,0.8372689332652654,0.9185611948011994
9,honest,0.874280277661594,0.676665366071564
10,honest,0.919219712215562,0.698523624989007
11,honest,0.7347117954754502,0.7037339634482793
12,honest,0.8663704217941741,0.7331361107702807
13,honest,0.9089366918410368,0.9030881338237071
14,honest,0.7843493963071287,0.7281622162922798
15,honest,0.7215232064292081,0.599239202028986
16,honest,0.7421054100279587,0.6631295527452263
17,honest,0.7247208348413233,0.6214404223430325
18,honest,0.939547221376123,0.9096666862126526
19,honest,0.8017094504572633,0.7366464560985586
20,honest,0.8413041233866622,0.6567731813452244
21,honest,0.9075458009871648,0.6716228380353904
22,honest,0.8003045739725954,0.582404937472583
23,honest,0.8752577167494554,0.6533058352062022
24,honest,0.7207035603689781,0.7222674909694806
25,honest,0.8298445248435221,0.6076865321068168
26,honest,0.726060120865983,0.7476875240665033
27,honest,0.7670367179836616,0.6909314275429359
28,honest,0.7792020234507765,0.8814338337729
29,honest,0.8937476270494755,0.7157689167075217
30,honest,0.8820081302980985,0.8969396260120273
31,honest,0.9017116240113876,0.7733931251019655
32,honest,0.7166738627540804,0.5687467598623868
33,honest,0.9683568372867226,0.9266767937507341
34,honest,0.7146934077516376,0.46837052106985655
35,honest,0.9229519036885716,0.879222132559722
36,honest,0.8998726120397446,0.7777383495710393
37,honest,0.8597756834327913,0.7477424550769876
38,honest,0.8184914345891465,0.7165367132252495
39,honest,0.9044257353829492,0.9987683459421214
40,honest,0.8997616068825884,0.9612024737624839
41,honest,0.7370381505822472,0.8586837992374207
42,honest,0.9140107676994348,0.8774689797705417
43,honest,0.7212103893074405,0.6649168038342691
44,honest,0.8351474583747044,0.789941922421505
45,honest,0.8741720931731424,0.815139751175838
46,honest,0.9218559914913116,0.8760045241986427
47,honest,0.8250397588851245,0.8688241054924328
48,honest,0.7639516809425891,0.7610257348851667
49,honest,0.8324780961732837,0.8467738717626583
50,honest,0.7675561898180224,0.7863028293362316
51,honest,0.84275585299316,0.7128823329892282
52,honest,0.8248772094387598,0.6266737310792128
53,honest,0.9107362106126063,0.9677320988490066
54,honest,0.7648243306294827,0.869367543171561
55,honest,0.7539959997313916,0.48350510574632466
56,honest,0.8280300416830791,0.7875888636038852
57,honest,0.7136361786015296,0.8015518068541412
58,honest,0.7619219696775865,0.5117503569926625
59,honest,0.7955003268306767,0.5043470663307648
60,honest,0.8316600223914458,0.8260699180175639
61,honest,0.7727479120308482,0.7367187769248307
62,honest,0.8513718535712697,0.746817979885295
63,honest,0.9371719599401964,0.9738383460198272
64,honest,0.8468064145665525,0.7290101999120351
65,honest,0.7774466708688366,0.7546741207939113
66,honest,0.716734862440625,0.7318911758391368
67,honest,0.7368999022820474,0.6290195623333763
68,honest,0.8515286895077414,0.695154901557141
69,honest,0.8846013862881825,0.7115439615806095
70,honest,0.713410344759599,0.5824987132490975
71,honest,0.75009845402264,0.7718549227271989
72,honest,0.786151943082674,0.8311942344148722
73,honest,0.7863387393977356,0.8262802895650749
74,honest,0.9587698938280494,0.7451507446316887
75,honest,0.755018061444454,0.8286214665521848
76,honest,0.7168804943593594,0.715130764389607
77,honest,0.7953140039143262,0.823122450039132
78,honest,0.7362993321780135,0.5835021774355962
79,honest,0.734177130586663,0.5748824567927815
80,honest,0.8100116785016246,0.726097666552739
81,honest,0.7827256075974861,0.6677768631360643
82,honest,0.724766229561947,0.5293493788557351
83,honest,0.8631619259454113,0.8563955786254176
84,honest,0.8354589368254944,0.6499441819338682
85,honest,0.7208169106168524,0.6109291308214935
86,honest,0.932941007983819,0.9199301202311274
87,honest,0.7768725257173298,0.5990659356970582
88,honest,0.9595728119357384,0.9549004209441637
89,honest,0.9515154307902078,0.9194470106321393
90,honest,0.8172060890790632,0.732588815183032
91,honest,0.7617130739183504,0.7065571336187202
92,honest,0.92541023238316,0.8143757591885641
93,honest,0.7975471772380606,0.7437174185196578
